model,task,index,value
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,zoom,0,9.91
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,zoom,1,29.5
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,zoom,2,91.52
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,zoom,3,62.01
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,zoom,4,35.06
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,0,27.85
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,1,20.78
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,2,18.86
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,3,25.33
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,4,23.72
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,5,28.75
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,6,40.06
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,7,58.77
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,8,78.8
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,9,59.35
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,10,37.79
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,11,27.58
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,12,23.17
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,13,25.38
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,14,19.2
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,15,20.98
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,16,27.85
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,zoom,0,9.98
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,zoom,1,29.12
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,zoom,2,91.61
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,zoom,3,66.81
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,zoom,4,40.56
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,0,28.9
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,1,20.96
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,2,18.93
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,3,27.27
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,4,23.79
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,5,29.07
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,6,38.17
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,7,59.2
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,8,81.89
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,9,60.79
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,10,40.07
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,11,28.64
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,12,23.33
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,13,27.34
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,14,18.52
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,15,19.84
