model,task,index,value
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,zoom,0,0.99
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,zoom,1,5.84
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,zoom,2,57.64
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,zoom,3,32.41
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,zoom,4,18.32
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,0,10.39
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,1,4.92
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,2,5.01
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,3,9.09
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,4,5.67
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,5,5.6
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,6,8.81
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,7,18.42
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,8,30.47
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,9,17.15
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,10,8.26
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,11,5.59
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,12,5.93
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,13,9.44
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,14,4.97
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,15,5.06
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,16,10.39
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,zoom,0,1.03
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,zoom,1,5.57
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,zoom,2,56.72
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,zoom,3,33.24
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,zoom,4,19.71
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,0,10.0
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,1,3.79
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,2,4.41
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,3,9.4
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,4,4.5
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,5,4.14
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,6,8.36
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,7,17.69
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,8,29.37
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,9,16.21
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,10,6.5
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,11,4.35
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,12,5.72
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,13,8.95
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,14,4.06
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,15,4.95
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,16,10.0
