model,task,index,value
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,zoom,0,1.98
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,zoom,1,43.86
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,zoom,2,69.66
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,zoom,3,62.74
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,zoom,4,45.66
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,rotate,0,36.2
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,rotate,1,32.76
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,rotate,2,32.88
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,rotate,3,41.16
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,rotate,4,47.48
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,rotate,5,53.56
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,rotate,6,61.24
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,rotate,7,65.32
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,rotate,8,69.66
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,rotate,9,66.4
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,rotate,10,61.98
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,rotate,11,54.2
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,rotate,12,47.66
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,rotate,13,39.68
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,rotate,14,32.3
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,rotate,15,32.06
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,rotate,16,36.2
classification_PIGNet_classification_resnet50_scratch_imagenet_v3.pth,zoom,0,1.48
classification_PIGNet_classification_resnet50_scratch_imagenet_v3.pth,zoom,1,35.86
classification_PIGNet_classification_resnet50_scratch_imagenet_v3.pth,zoom,2,68.02
classification_PIGNet_classification_resnet50_scratch_imagenet_v3.pth,zoom,3,61.12
classification_PIGNet_classification_resnet50_scratch_imagenet_v3.pth,zoom,4,44.64
classification_PIGNet_classification_resnet50_scratch_imagenet_v3.pth,rotate,0,34.24
classification_PIGNet_classification_resnet50_scratch_imagenet_v3.pth,rotate,1,28.86
classification_PIGNet_classification_resnet50_scratch_imagenet_v3.pth,rotate,2,28.38
classification_PIGNet_classification_resnet50_scratch_imagenet_v3.pth,rotate,3,38.08
classification_PIGNet_classification_resnet50_scratch_imagenet_v3.pth,rotate,4,42.84
classification_PIGNet_classification_resnet50_scratch_imagenet_v3.pth,rotate,5,49.32
classification_PIGNet_classification_resnet50_scratch_imagenet_v3.pth,rotate,6,57.18
