model,task,index,value
ASPP_resnet50_cityscape_pretrain_v3.pth,zoom,0,19.575663197756935
ASPP_resnet50_cityscape_pretrain_v3.pth,zoom,1,57.941180923026614
ASPP_resnet50_cityscape_pretrain_v3.pth,zoom,2,63.90760990157662
ASPP_resnet50_cityscape_pretrain_v3.pth,zoom,3,64.9316093279505
ASPP_resnet50_cityscape_pretrain_v3.pth,zoom,4,61.38487125144994
ASPP_resnet50_cityscape_pretrain_v3.pth,overlap,0,56.17200126701455
ASPP_resnet50_cityscape_pretrain_v3.pth,overlap,1,57.476666185040926
ASPP_resnet50_cityscape_pretrain_v3.pth,overlap,2,58.643002725094895
ASPP_resnet50_cityscape_pretrain_v3.pth,overlap,3,58.10460829121978
ASPP_resnet50_cityscape_pretrain_v3.pth,overlap,4,55.04078709532774
ASPP_resnet50_cityscape_pretrain_v3.pth,repeat,0,64.86945644423801
ASPP_resnet50_cityscape_pretrain_v3.pth,repeat,1,41.62329044373031
ASPP_resnet50_cityscape_pretrain_v3.pth,repeat,2,24.821575351479005
ASPP_resnet50_cityscape_pretrain_v3.pth,repeat,3,18.06786755721265
ASPP_resnet50_cityscape_pretrain_v3.pth,repeat,4,11.609645872860238
PIGNet_GSPonly_resnet50_cityscape_pretrain_v3.pth,zoom,0,21.18511666110054
PIGNet_GSPonly_resnet50_cityscape_pretrain_v3.pth,zoom,1,58.86100059744369
PIGNet_GSPonly_resnet50_cityscape_pretrain_v3.pth,zoom,2,67.25466109537295
PIGNet_GSPonly_resnet50_cityscape_pretrain_v3.pth,zoom,3,65.09499280133308
PIGNet_GSPonly_resnet50_cityscape_pretrain_v3.pth,zoom,4,58.99080774584081
PIGNet_GSPonly_resnet50_cityscape_pretrain_v3.pth,overlap,0,59.88750281088615
PIGNet_GSPonly_resnet50_cityscape_pretrain_v3.pth,overlap,1,60.59110630065948
PIGNet_GSPonly_resnet50_cityscape_pretrain_v3.pth,overlap,2,58.82962718410408
PIGNet_GSPonly_resnet50_cityscape_pretrain_v3.pth,overlap,3,55.880733110614344
PIGNet_GSPonly_resnet50_cityscape_pretrain_v3.pth,overlap,4,55.776284665807616
PIGNet_GSPonly_resnet50_cityscape_pretrain_v3.pth,repeat,0,67.65583255916535
PIGNet_GSPonly_resnet50_cityscape_pretrain_v3.pth,repeat,1,43.49835035338665
PIGNet_GSPonly_resnet50_cityscape_pretrain_v3.pth,repeat,2,28.695104412068336
PIGNet_GSPonly_resnet50_cityscape_pretrain_v3.pth,repeat,3,19.71153660638238
PIGNet_GSPonly_resnet50_cityscape_pretrain_v3.pth,repeat,4,13.43243730154143
PIGNet_resnet50_cityscape_pretrain_v3.pth,zoom,0,14.06776320928248
PIGNet_resnet50_cityscape_pretrain_v3.pth,zoom,1,57.167837757656855
PIGNet_resnet50_cityscape_pretrain_v3.pth,zoom,2,64.52026810064156
PIGNet_resnet50_cityscape_pretrain_v3.pth,zoom,3,66.40449507400163
PIGNet_resnet50_cityscape_pretrain_v3.pth,zoom,4,60.08474368056225
PIGNet_resnet50_cityscape_pretrain_v3.pth,overlap,0,57.4697585653842
PIGNet_resnet50_cityscape_pretrain_v3.pth,overlap,1,58.01252776811078
PIGNet_resnet50_cityscape_pretrain_v3.pth,overlap,2,56.07544498426974
PIGNet_resnet50_cityscape_pretrain_v3.pth,overlap,3,55.46577184971716
PIGNet_resnet50_cityscape_pretrain_v3.pth,overlap,4,53.74381173190667
PIGNet_resnet50_cityscape_pretrain_v3.pth,repeat,0,68.12925578974178
PIGNet_resnet50_cityscape_pretrain_v3.pth,repeat,1,42.457238544482465
PIGNet_resnet50_cityscape_pretrain_v3.pth,repeat,2,28.45494034045456
PIGNet_resnet50_cityscape_pretrain_v3.pth,repeat,3,19.63753451354188
PIGNet_resnet50_cityscape_pretrain_v3.pth,repeat,4,13.63405400810534
