model,task,index,value
ASPP_resnet50_pascal_pretrain_v3.pth,zoom,0,8.32864846402229
ASPP_resnet50_pascal_pretrain_v3.pth,zoom,1,65.8703124131597
ASPP_resnet50_pascal_pretrain_v3.pth,zoom,2,75.40892575189824
ASPP_resnet50_pascal_pretrain_v3.pth,zoom,3,74.85765324442796
ASPP_resnet50_pascal_pretrain_v3.pth,zoom,4,71.64781896717992
ASPP_resnet50_pascal_pretrain_v3.pth,overlap,0,55.3606194141317
ASPP_resnet50_pascal_pretrain_v3.pth,overlap,1,52.462228368288585
ASPP_resnet50_pascal_pretrain_v3.pth,overlap,2,54.915722445484924
ASPP_resnet50_pascal_pretrain_v3.pth,overlap,3,52.742797831614496
ASPP_resnet50_pascal_pretrain_v3.pth,overlap,4,51.2069623236136
ASPP_resnet50_pascal_pretrain_v3.pth,repeat,0,76.06693468720532
ASPP_resnet50_pascal_pretrain_v3.pth,repeat,1,34.90805771652295
ASPP_resnet50_pascal_pretrain_v3.pth,repeat,2,10.729004891567346
ASPP_resnet50_pascal_pretrain_v3.pth,repeat,3,4.490434138953786
ASPP_resnet50_pascal_pretrain_v3.pth,repeat,4,2.9445366599068294
PIGNet_GSPonly_resnet50_pascal_pretrain_v3.pth,zoom,0,8.63440100790149
PIGNet_GSPonly_resnet50_pascal_pretrain_v3.pth,zoom,1,65.060924621141
PIGNet_GSPonly_resnet50_pascal_pretrain_v3.pth,zoom,2,74.1891107180091
PIGNet_GSPonly_resnet50_pascal_pretrain_v3.pth,zoom,3,73.75203084063085
PIGNet_GSPonly_resnet50_pascal_pretrain_v3.pth,zoom,4,70.34426050368742
PIGNet_GSPonly_resnet50_pascal_pretrain_v3.pth,overlap,0,50.34624643289559
PIGNet_GSPonly_resnet50_pascal_pretrain_v3.pth,overlap,1,49.64525316125458
PIGNet_GSPonly_resnet50_pascal_pretrain_v3.pth,overlap,2,48.00055669122672
PIGNet_GSPonly_resnet50_pascal_pretrain_v3.pth,overlap,3,49.14199000021895
PIGNet_GSPonly_resnet50_pascal_pretrain_v3.pth,overlap,4,48.180418301241886
PIGNet_GSPonly_resnet50_pascal_pretrain_v3.pth,repeat,0,75.65006105040617
PIGNet_GSPonly_resnet50_pascal_pretrain_v3.pth,repeat,1,35.44765267750119
PIGNet_GSPonly_resnet50_pascal_pretrain_v3.pth,repeat,2,13.262789015007312
PIGNet_GSPonly_resnet50_pascal_pretrain_v3.pth,repeat,3,5.8243709072035035
PIGNet_GSPonly_resnet50_pascal_pretrain_v3.pth,repeat,4,3.8563407887062056
PIGNet_resnet50_pascal_pretrain_v3.pth,zoom,0,6.361278990538927
PIGNet_resnet50_pascal_pretrain_v3.pth,zoom,1,64.59964032365023
PIGNet_resnet50_pascal_pretrain_v3.pth,zoom,2,74.61171224318653
PIGNet_resnet50_pascal_pretrain_v3.pth,zoom,3,74.07663696705546
PIGNet_resnet50_pascal_pretrain_v3.pth,zoom,4,71.64029867310462
PIGNet_resnet50_pascal_pretrain_v3.pth,overlap,0,49.0773635987975
PIGNet_resnet50_pascal_pretrain_v3.pth,overlap,1,49.3798393585213
PIGNet_resnet50_pascal_pretrain_v3.pth,overlap,2,50.72899104414233
PIGNet_resnet50_pascal_pretrain_v3.pth,overlap,3,49.7929546325434
PIGNet_resnet50_pascal_pretrain_v3.pth,overlap,4,47.38618956342665
PIGNet_resnet50_pascal_pretrain_v3.pth,repeat,0,76.22066054598436
PIGNet_resnet50_pascal_pretrain_v3.pth,repeat,1,36.42975760255969
PIGNet_resnet50_pascal_pretrain_v3.pth,repeat,2,12.75390646944769
PIGNet_resnet50_pascal_pretrain_v3.pth,repeat,3,4.930695611051961
PIGNet_resnet50_pascal_pretrain_v3.pth,repeat,4,3.639155891794076
